Dimension:4x14170
RThighAng,LThighAng,RShankAng,LShankAng,
 -2.785036099393, -1.995067867809, -4.070688007508,-32.588360617209,
 -2.785984145488, -1.995810717216, -4.072257269168,-32.591111881843,
 -2.786855413224, -1.997113264990, -4.074066117928,-32.594344049039,
 -2.786855413224, -1.997113264990, -4.074066117928,-32.594344049039,
 -2.790035981156, -1.998572454823, -4.077452336870,-32.600351372332,
 -2.792742364674, -1.999197952051, -4.078532787352,-32.603944444063,
 -2.795859551870, -2.000124606581, -4.079311080967,-32.607913267563,
 -2.798671884803, -2.000181823056, -4.080145413934,-32.611348744782,
 -2.801534788662, -1.999833088306, -4.080696225293,-32.614594609801,
 -2.803441122035, -1.999178863613, -4.081467678088,-32.617834737395,
 -2.806235776579, -1.999493447794, -4.078969591660,-32.624156367330,
 -2.807038868693, -1.999034125911, -4.080043053747,-32.626967572832,
 -2.807332391962, -1.998907398640, -4.080059359972,-32.629734629209,
 -2.808545543883, -2.000132332213, -4.080839755296,-32.636653792777,
 -2.809519959060, -2.000910491124, -4.080930189688,-32.640133342012,
 -2.809519959060, -2.000910491124, -4.080930189688,-32.640133342012,
 -2.814746458049, -2.005005088943, -4.079981114062,-32.653065857537,
 -2.816577192460, -2.006783651526, -4.079924799998,-32.657578844137,
 -2.816577192460, -2.006783651526, -4.079924799998,-32.657578844137,
 -2.819405763688, -2.008506717473, -4.079539940256,-32.662698536412,
 -2.822540508004, -2.010215533757, -4.079396932726,-32.666965812060,
 -2.825308304605, -2.011951198928, -4.079695977255,-32.671045636635,
 -2.825308304605, -2.011951198928, -4.079695977255,-32.671045636635,
 -2.830137095607, -2.015694991170, -4.079530412399,-32.679155318131,
 -2.832043972374, -2.018464333425, -4.079179070484,-32.682986389612,
 -2.834284923257, -2.020757412598, -4.079166774465,-32.686685108630,
 -2.838512223563, -2.025533029227, -4.080383198504,-32.693735206470,
 -2.840055704393, -2.028141215613, -4.080755634613,-32.697743295584,
 -2.841594311306, -2.030865324466, -4.081673599188,-32.701141954336,
 -2.845061663663, -2.036436215489, -4.082353338684,-32.707292483633,
 -2.847300035566, -2.039364811845, -4.082689952268,-32.710138750841,
 -2.849200352085, -2.041941404592, -4.082252157343,-32.713316188601,
 -2.851543328335, -2.045060393958, -4.082527956833,-32.715501385299,
 -2.853854594575, -2.048095800868, -4.082365165935,-32.717241609814,
 -2.856710023433, -2.051024553715, -4.082780705965,-32.718681346380,
 -2.858689097401, -2.053774436921, -4.083590494127,-32.720104730699,
 -2.860130638778, -2.055954027791, -4.084402317196,-32.721319083188,
 -2.860757091532, -2.058015426029, -4.085101388131,-32.722204049655,
 -2.860646247630, -2.060025434118, -4.086473244153,-32.723566454169,
 -2.860646247630, -2.060025434118, -4.086473244153,-32.723566454169,
 -2.860102405569, -2.061818679443, -4.087610459177,-32.725240699270,
 -2.859632097214, -2.063835632335, -4.088994493726,-32.727132451240,
 -2.858347763148, -2.065181202295, -4.090151033186,-32.729114595678,
 -2.856411735967, -2.066059007111, -4.091647461757,-32.730835791013,
 -2.854317986492, -2.066141555600, -4.093921431256,-32.732915447782,
 -2.852335355407, -2.066373425613, -4.095301744139,-32.734613244715,
 -2.850345262125, -2.066519319207, -4.096587692347,-32.735917620221,
 -2.848048371075, -2.065349289263, -4.097964945430,-32.737218576582,
 -2.845738874754, -2.063815190148, -4.099601360632,-32.738148398486,
 -2.844247383270, -2.062248338149, -4.100997390206,-32.738962312933,
 -2.843639498721, -2.060047600059, -4.102250432728,-32.739488014752,
 -2.843440354223, -2.057574212781, -4.103854239397,-32.739998133274,
 -2.843626116034, -2.055103932788, -4.105134448387,-32.741097932534,
 -2.843646631049, -2.052295697802, -4.106960511373,-32.741593338815,
 -2.843538695843, -2.049730821623, -4.108181396640,-32.742004084012,
 -2.843374763089, -2.046564432930, -4.109554766855,-32.742423992737,
 -2.842133451171, -2.044663348778, -4.107096925483,-32.744116643290,
 -2.842133451171, -2.044663348778, -4.107096925483,-32.744116643290,
 -2.839297442188, -2.038390187530, -4.109294748887,-32.745341605724,
 -2.837714356642, -2.034951391832, -4.110362515025,-32.745288738134,
 -2.836017354583, -2.031795521740, -4.111289919066,-32.745187640575,
 -2.834363451720, -2.028400438326, -4.112382845118,-32.745754655607,
 -2.832067912312, -2.025816443063, -4.113551412768,-32.745871070896,
 -2.829702498980, -2.022734408042, -4.114177214118,-32.745776685164,
 -2.827451834668, -2.019942354823, -4.115056547937,-32.745514291086,
 -2.825403287814, -2.017781429894, -4.115121113453,-32.744930152526,
 -2.823171267578, -2.015451315562, -4.115135030947,-32.744416483006,
 -2.821532084323, -2.013722728896, -4.115881101286,-32.743230890308,
 -2.819713972533, -2.011553045455, -4.116391562143,-32.742378460330,
 -2.817851516374, -2.010032464109, -4.117168359886,-32.741107949608,
 -2.816675344266, -2.008615283994, -4.117459248374,-32.740448356747,
 -2.815460337660, -2.006895571150, -4.117414823629,-32.740441637150,
 -2.814212918861, -2.005689737711, -4.117596122012,-32.739893435157,
 -2.813264120621, -2.004137213308, -4.117408416672,-32.739070911605,
 -2.812160770626, -2.003096045557, -4.117187162478,-32.738386113677,
 -2.811046962106, -2.002873357504, -4.116856646284,-32.737209949654,
 -2.810007978419, -2.002202705365, -4.117146051530,-32.736564314674,
 -2.809238512011, -2.001864012610, -4.117626940997,-32.735565668459,
 -2.808237133711, -2.002284219869, -4.117766420422,-32.734491118539,
 -2.807558183410, -2.002490174138, -4.117787132642,-32.733590748963,
 -2.807139091978, -2.002149037354, -4.118057759866,-32.732658061512,
 -2.806302060679, -2.002029801699, -4.117867648888,-32.731651383715,
 -2.805521617997, -2.002498799146, -4.117758437131,-32.730217431771,
 -2.804253218314, -2.002232754925, -4.117881463493,-32.728902760906,
 -2.802959088026, -2.001906275813, -4.117860034319,-32.727463585972,
 -2.801345491437, -2.001809276817, -4.117834862295,-32.725691883129,
 -2.799291966757, -2.001267969081, -4.117487261882,-32.723896019562,
 -2.797859517718, -2.000770348054, -4.117136542631,-32.722355046515,
 -2.796430552637, -2.000224227253, -4.116488675739,-32.720949690328,
 -2.794694432491, -1.999938156725, -4.115291603926,-32.719296603971,
 -2.794694432491, -1.999938156725, -4.115291603926,-32.719296603971,
 -2.790041228756, -1.997633452640, -4.113268114411,-32.713980120339,
 -2.789059972086, -1.996818376125, -4.112016599207,-32.712447704469,
 -2.787253943343, -1.996030380598, -4.111331780907,-32.710810712008,
 -2.785153373375, -1.994647900137, -4.110634256623,-32.710016536726,
 -2.783053487232, -1.992539423840, -4.109938558464,-32.708862189434,
 -2.783053487232, -1.992539423840, -4.109938558464,-32.708862189434,
 -2.778680068894, -1.988007948860, -4.107935986314,-32.707420896886,
 -2.776418730631, -1.985111556789, -4.107477092967,-32.707415057057,
 -2.773943209898, -1.982045077424, -4.107110295542,-32.707340889069,
 -2.773943209898, -1.982045077424, -4.107110295542,-32.707340889069,
 -2.768815865014, -1.974730086838, -4.105336139722,-32.707766214200,
 -2.766316383134, -1.970288569296, -4.104089161277,-32.707117315503,
 -2.760703610535, -1.963469802978, -4.097940767987,-32.705734601304,
 -2.758386734243, -1.959743981221, -4.096856827588,-32.704431211231,
 -2.755697481150, -1.956128611195, -4.096076281833,-32.703031192238,
 -2.750804888698, -1.951039662285, -4.094730654608,-32.699994451038,
 -2.748497027720, -1.948184538951, -4.093851911580,-32.698185103877,
 -2.748497027720, -1.948184538951, -4.093851911580,-32.698185103877,
 -2.741146538105, -1.941535502559, -4.090152004760,-32.692625410121,
 -2.739000683076, -1.939789140334, -4.088375085009,-32.691663449372,
 -2.735011823858, -1.935721626688, -4.084356306778,-32.689608280989,
 -2.733170871690, -1.933448090473, -4.082062305314,-32.688096668849,
 -2.731477498900, -1.931738339339, -4.080399788364,-32.686556278155,
 -2.731477498900, -1.931738339339, -4.080399788364,-32.686556278155,
 -2.729421818317, -1.929392055246, -4.078708520179,-32.684855188626,
